18-7-1 23:30:24.3|Info|movie_extras|Starting migration to 142
18-7-1 23:30:24.3|Info|MigrationLogger|*** 143: clean_core_tv migrating ***
18-7-1 23:30:24.3|Info|clean_core_tv|Starting migration to 143
18-7-1 23:30:24.3|Info|MigrationLogger|*** 144: add_cookies_to_indexer_status migrating ***
18-7-1 23:30:24.3|Info|add_cookies_to_indexer_status|Starting migration to 144
18-7-1 23:30:24.3|Info|MigrationLogger|*** 145: banner_to_fanart migrating ***
18-7-1 23:30:24.3|Info|banner_to_fanart|Starting migration to 145
18-7-1 23:30:24.3|Info|MigrationLogger|*** 146: naming_config_colon_action migrating ***
18-7-1 23:30:24.3|Info|naming_config_colon_action|Starting migration to 146
18-7-1 23:30:24.4|Info|MigrationLogger|*** 148: remove_extra_naming_config migrating ***
18-7-1 23:30:24.4|Info|remove_extra_naming_config|Starting migration to 148
18-7-1 23:30:24.4|Info|MigrationLogger|*** Migrating data source=/config/logs.db;cache size=-10485760;datetimekind=Utc;journal mode=Wal;pooling=True;version=3 ***
18-7-1 23:30:24.5|Info|MigrationLogger|*** VersionMigration migrating ***
18-7-1 23:30:24.5|Info|MigrationLogger|*** VersionUniqueMigration migrating ***
18-7-1 23:30:24.5|Info|MigrationLogger|*** VersionDescriptionMigration migrating ***
18-7-1 23:30:24.5|Info|MigrationLogger|*** 1: InitialSetup migrating ***
18-7-1 23:30:24.5|Info|InitialSetup|Starting migration to 1
18-7-1 23:30:24.5|Info|MigrationLogger|*** 2: remove_tvrage_imdb_unique_constraint migrating ***
18-7-1 23:30:24.5|Info|remove_tvrage_imdb_unique_constraint|Starting migration to 2
18-7-1 23:30:24.5|Info|MigrationLogger|*** 3: remove_renamed_scene_mapping_columns migrating ***
18-7-1 23:30:24.5|Info|remove_renamed_scene_mapping_columns|Starting migration to 3
18-7-1 23:30:24.5|Info|MigrationLogger|*** 4: updated_history migrating ***
18-7-1 23:30:24.5|Info|updated_history|Starting migration to 4
18-7-1 23:30:24.6|Info|MigrationLogger|*** 5: added_eventtype_to_history migrating ***
18-7-1 23:30:24.6|Info|added_eventtype_to_history|Starting migration to 5
18-7-1 23:30:24.6|Info|MigrationLogger|*** 6: add_index_to_log_time migrating ***
18-7-1 23:30:24.6|Info|add_index_to_log_time|Starting migration to 6
